checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
0 <= ... < 200 DM,25,no credits taken / all credits paid back duly,car (new),3099,... < 100 DM,... >= 7 years,4,female,none,4,"car or other, not in savings account",31,none,own,1,management / self-employed / highly qualified employee / officer,2,none,yes,2,single
0 <= ... < 200 DM,23,delay in paying off in the past,car (new),250,100 <= ... < 500 DM,1 <= ... < 4 years,2,female,none,1,"car or other, not in savings account",25,none,for free,1,unskilled - resident,1,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,19,existing credits paid back duly till now,business,3043,500 <= ... < 1000 DM,4 <= ... < 7 years,2,female,none,3,building society savings agreement / life insurance,36,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,4,no credits taken / all credits paid back duly,radio/television,1314,500 <= ... < 1000 DM,... < 1 year,3,male,none,4,real estate,19,bank,own,1,skilled employee / official,1,none,yes,2,divorced/separated
... < 0 DM,4,all credits at this bank paid back duly,car (new),1721,... < 100 DM,... >= 7 years,4,female,none,4,building society savings agreement / life insurance,19,none,own,2,unskilled - resident,1,"yes, registered under customer's name",yes,2,divorced/separated
... < 0 DM,62,existing credits paid back duly till now,furniture/equipment,1372,unknown / no savings account,4 <= ... < 7 years,2,female,none,2,unknown / no property,22,none,own,2,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,24,critical account / other credits existing (not at this bank),car (new),9250,... < 100 DM,1 <= ... < 4 years,4,male,guarantor,4,"car or other, not in savings account",19,none,for free,1,unskilled - resident,1,none,no,1,single
no checking account,31,existing credits paid back duly till now,car (new),3260,100 <= ... < 500 DM,... < 1 year,4,male,none,4,"car or other, not in savings account",20,none,own,1,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,53,critical account / other credits existing (not at this bank),furniture/equipment,2605,... < 100 DM,unemployed,2,female,none,4,real estate,47,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,married/widowed
no checking account,17,existing credits paid back duly till now,car (new),1141,... < 100 DM,1 <= ... < 4 years,1,female,none,4,"car or other, not in savings account",75,stores,rent,3,skilled employee / official,1,none,yes,2,divorced/separated
... < 0 DM,21,existing credits paid back duly till now,radio/television,6934,... < 100 DM,... < 1 year,4,female,none,2,real estate,20,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,3524,... < 100 DM,1 <= ... < 4 years,2,male,none,4,real estate,27,none,rent,1,skilled employee / official,1,"yes, registered under customer's name",no,1,divorced/separated
no checking account,4,existing credits paid back duly till now,radio/television,6355,... < 100 DM,1 <= ... < 4 years,3,female,none,4,"car or other, not in savings account",38,none,own,1,unskilled - resident,1,none,yes,2,divorced/separated
... < 0 DM,14,existing credits paid back duly till now,radio/television,15945,... < 100 DM,unemployed,4,female,none,2,building society savings agreement / life insurance,29,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,21,existing credits paid back duly till now,radio/television,250,unknown / no savings account,1 <= ... < 4 years,2,male,none,4,unknown / no property,25,none,for free,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
no checking account,30,critical account / other credits existing (not at this bank),car (new),1176,... < 100 DM,unemployed,2,male,none,4,"car or other, not in savings account",33,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,4,existing credits paid back duly till now,car (new),6569,... < 100 DM,1 <= ... < 4 years,3,female,none,2,real estate,19,none,own,1,unskilled - resident,1,"yes, registered under customer's name",yes,2,divorced/separated
... < 0 DM,27,all credits at this bank paid back duly,car (new),6418,... < 100 DM,... < 1 year,2,female,none,1,"car or other, not in savings account",70,bank,rent,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,25,existing credits paid back duly till now,furniture/equipment,1973,... < 100 DM,... < 1 year,1,male,none,4,"car or other, not in savings account",19,none,rent,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,21,critical account / other credits existing (not at this bank),business,3332,... < 100 DM,... < 1 year,2,male,none,3,"car or other, not in savings account",55,none,for free,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,22,existing credits paid back duly till now,furniture/equipment,12364,100 <= ... < 500 DM,... < 1 year,4,male,none,1,"car or other, not in savings account",34,none,rent,1,skilled employee / official,2,"yes, registered under customer's name",yes,2,divorced/separated
no checking account,64,existing credits paid back duly till now,education,4375,500 <= ... < 1000 DM,4 <= ... < 7 years,2,male,none,4,"car or other, not in savings account",75,none,rent,2,unskilled - resident,1,"yes, registered under customer's name",yes,2,married/widowed
... < 0 DM,22,existing credits paid back duly till now,car (used),2151,... < 100 DM,4 <= ... < 7 years,3,female,none,1,"car or other, not in savings account",30,none,own,2,management / self-employed / highly qualified employee / officer,1,none,yes,2,divorced/separated
... < 0 DM,16,existing credits paid back duly till now,furniture/equipment,2401,... < 100 DM,... < 1 year,2,male,guarantor,3,building society savings agreement / life insurance,19,none,rent,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,12,existing credits paid back duly till now,radio/television,2290,unknown / no savings account,1 <= ... < 4 years,1,female,none,4,unknown / no property,27,bank,own,1,skilled employee / official,1,none,yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,7,existing credits paid back duly till now,furniture/equipment,11297,... < 100 DM,... >= 7 years,4,female,guarantor,4,"car or other, not in savings account",24,none,own,1,unskilled - resident,1,none,yes,2,divorced/separated
0 <= ... < 200 DM,9,existing credits paid back duly till now,business,3656,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male,none,2,"car or other, not in savings account",35,stores,own,1,unskilled - resident,1,none,yes,2,divorced/separated
0 <= ... < 200 DM,16,existing credits paid back duly till now,car (new),8535,500 <= ... < 1000 DM,... >= 7 years,3,female,none,4,real estate,47,bank,rent,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,21,existing credits paid back duly till now,furniture/equipment,2955,... < 100 DM,... < 1 year,2,female,none,1,real estate,24,none,for free,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
... < 0 DM,28,existing credits paid back duly till now,radio/television,6272,... < 100 DM,... < 1 year,2,male,none,3,unknown / no property,31,none,own,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,23,existing credits paid back duly till now,radio/television,3107,unknown / no savings account,1 <= ... < 4 years,2,male,none,4,real estate,32,none,own,3,unskilled - resident,1,none,yes,2,divorced/separated
no checking account,12,existing credits paid back duly till now,car (new),3691,unknown / no savings account,4 <= ... < 7 years,1,male,none,4,"car or other, not in savings account",23,none,own,2,unskilled - resident,2,"yes, registered under customer's name",yes,2,divorced/separated
... < 0 DM,4,existing credits paid back duly till now,car (new),300,... < 100 DM,1 <= ... < 4 years,2,female,none,4,"car or other, not in savings account",36,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,45,existing credits paid back duly till now,business,250,... < 100 DM,4 <= ... < 7 years,4,female,none,1,"car or other, not in savings account",24,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
