checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
0 <= ... < 200 DM,23,delay in paying off in the past,car (used),1196,... < 100 DM,... >= 7 years,4,male,none,4,real estate,29,none,rent,3,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
no checking account,22,existing credits paid back duly till now,car (used),281,... < 100 DM,1 <= ... < 4 years,4,male,none,4,building society savings agreement / life insurance,26,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
... < 0 DM,36,existing credits paid back duly till now,car (new),1716,... < 100 DM,1 <= ... < 4 years,4,male,none,4,unknown / no property,29,bank,own,1,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,26,critical account / other credits existing (not at this bank),radio/television,8293,unknown / no savings account,1 <= ... < 4 years,2,male,none,4,"car or other, not in savings account",25,stores,for free,2,management / self-employed / highly qualified employee / officer,1,none,yes,2,single
... < 0 DM,25,no credits taken / all credits paid back duly,radio/television,250,100 <= ... < 500 DM,... < 1 year,4,male,none,2,"car or other, not in savings account",25,none,own,1,skilled employee / official,1,none,yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,72,existing credits paid back duly till now,radio/television,250,... < 100 DM,... < 1 year,1,male,none,4,"car or other, not in savings account",42,bank,own,1,unskilled - resident,2,"yes, registered under customer's name",yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,24,critical account / other credits existing (not at this bank),business,2384,... < 100 DM,1 <= ... < 4 years,4,male,co-applicant,2,real estate,20,bank,own,2,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,25,critical account / other credits existing (not at this bank),radio/television,8364,... < 100 DM,... < 1 year,4,male,none,2,"car or other, not in savings account",26,none,own,1,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,19,existing credits paid back duly till now,car (new),595,100 <= ... < 500 DM,4 <= ... < 7 years,3,male,none,2,"car or other, not in savings account",29,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,11,existing credits paid back duly till now,radio/television,632,unknown / no savings account,1 <= ... < 4 years,2,male,none,4,"car or other, not in savings account",19,bank,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,married/widowed
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,2218,100 <= ... < 500 DM,4 <= ... < 7 years,4,female,none,2,building society savings agreement / life insurance,35,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,27,existing credits paid back duly till now,car (new),1106,100 <= ... < 500 DM,... >= 7 years,2,male,none,4,unknown / no property,27,none,rent,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,28,critical account / other credits existing (not at this bank),radio/television,7844,... < 100 DM,1 <= ... < 4 years,4,male,none,4,real estate,24,none,own,1,skilled employee / official,1,none,yes,1,single
no checking account,19,all credits at this bank paid back duly,furniture/equipment,4761,... < 100 DM,1 <= ... < 4 years,4,male,none,3,real estate,24,none,for free,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
0 <= ... < 200 DM,41,existing credits paid back duly till now,radio/television,3831,unknown / no savings account,4 <= ... < 7 years,2,female,none,4,unknown / no property,71,none,own,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
... < 0 DM,24,critical account / other credits existing (not at this bank),radio/television,3174,... < 100 DM,1 <= ... < 4 years,2,female,none,4,"car or other, not in savings account",57,none,own,1,skilled employee / official,1,none,yes,2,divorced/separated
no checking account,15,existing credits paid back duly till now,education,512,... < 100 DM,... >= 7 years,1,male,none,3,real estate,24,none,own,2,skilled employee / official,1,none,yes,2,single
no checking account,13,critical account / other credits existing (not at this bank),car (used),250,... < 100 DM,1 <= ... < 4 years,3,male,none,4,"car or other, not in savings account",52,none,own,1,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,2,single
no checking account,22,existing credits paid back duly till now,education,250,... < 100 DM,... >= 7 years,4,female,none,4,unknown / no property,25,none,own,2,unskilled - resident,1,none,yes,1,single
... < 0 DM,8,critical account / other credits existing (not at this bank),radio/television,1572,... < 100 DM,1 <= ... < 4 years,3,male,none,4,"car or other, not in savings account",26,bank,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,married/widowed
0 <= ... < 200 DM,20,all credits at this bank paid back duly,radio/television,3124,100 <= ... < 500 DM,... < 1 year,4,male,none,2,unknown / no property,42,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
no checking account,9,all credits at this bank paid back duly,furniture/equipment,4941,... < 100 DM,... < 1 year,1,male,none,3,real estate,50,none,own,2,skilled employee / official,2,none,yes,1,married/widowed
