checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
0 <= ... < 200 DM,50,critical account / other credits existing (not at this bank),car (used),7402,... < 100 DM,4 <= ... < 7 years,4,male,none,2,unknown / no property,75,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
no checking account,25,existing credits paid back duly till now,radio/television,4996,... < 100 DM,1 <= ... < 4 years,4,male,none,4,"car or other, not in savings account",22,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
no checking account,4,delay in paying off in the past,car (used),8152,... < 100 DM,unemployed,1,male,none,4,real estate,45,none,own,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
... >= 200 DM / salary assignments for at least 1 year,15,critical account / other credits existing (not at this bank),education,250,... < 100 DM,... < 1 year,1,female,none,2,real estate,34,none,own,2,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,42,all credits at this bank paid back duly,education,4959,unknown / no savings account,... >= 7 years,4,male,none,4,unknown / no property,49,none,for free,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,45,existing credits paid back duly till now,car (new),4590,100 <= ... < 500 DM,4 <= ... < 7 years,3,male,none,4,real estate,42,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,17,no credits taken / all credits paid back duly,furniture/equipment,2617,unknown / no savings account,unemployed,3,male,none,2,building society savings agreement / life insurance,38,stores,own,2,unskilled - resident,1,"yes, registered under customer's name",no,1,single
0 <= ... < 200 DM,13,critical account / other credits existing (not at this bank),radio/television,3200,... < 100 DM,... >= 7 years,4,male,none,2,real estate,46,none,own,2,unemployed / unskilled - non-resident,1,none,yes,1,single
0 <= ... < 200 DM,26,existing credits paid back duly till now,furniture/equipment,3054,... < 100 DM,... >= 7 years,4,male,none,4,unknown / no property,20,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,married/widowed
0 <= ... < 200 DM,15,delay in paying off in the past,furniture/equipment,861,... < 100 DM,1 <= ... < 4 years,3,female,none,4,"car or other, not in savings account",30,stores,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
... >= 200 DM / salary assignments for at least 1 year,17,existing credits paid back duly till now,car (new),250,... < 100 DM,... < 1 year,2,male,co-applicant,1,"car or other, not in savings account",22,none,own,1,skilled employee / official,1,none,yes,2,divorced/separated
0 <= ... < 200 DM,52,no credits taken / all credits paid back duly,repairs,10969,... < 100 DM,1 <= ... < 4 years,4,male,none,2,"car or other, not in savings account",20,none,own,2,skilled employee / official,1,"yes, registered under customer's name",no,1,single
no checking account,47,existing credits paid back duly till now,radio/television,2272,... < 100 DM,1 <= ... < 4 years,4,female,none,2,"car or other, not in savings account",26,stores,own,1,unskilled - resident,1,none,yes,1,divorced/separated
... < 0 DM,6,existing credits paid back duly till now,car (new),764,... < 100 DM,... >= 7 years,4,male,none,4,building society savings agreement / life insurance,50,none,own,1,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,13,critical account / other credits existing (not at this bank),furniture/equipment,5057,unknown / no savings account,... >= 7 years,4,male,none,4,"car or other, not in savings account",42,none,own,2,unskilled - resident,1,none,yes,1,single
no checking account,26,existing credits paid back duly till now,car (new),1567,... < 100 DM,4 <= ... < 7 years,4,male,none,1,"car or other, not in savings account",30,none,own,2,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,25,existing credits paid back duly till now,car (used),2452,... < 100 DM,unemployed,3,male,none,2,unknown / no property,75,stores,own,1,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,2,single
... < 0 DM,22,all credits at this bank paid back duly,education,250,... < 100 DM,... >= 7 years,4,male,none,4,unknown / no property,37,none,for free,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
... < 0 DM,19,critical account / other credits existing (not at this bank),radio/television,250,... < 100 DM,1 <= ... < 4 years,4,male,none,3,real estate,27,none,own,2,skilled employee / official,2,none,yes,1,single
no checking account,9,existing credits paid back duly till now,radio/television,2174,unknown / no savings account,4 <= ... < 7 years,4,male,none,2,real estate,61,none,own,1,skilled employee / official,1,none,yes,1,single
... >= 200 DM / salary assignments for at least 1 year,13,critical account / other credits existing (not at this bank),radio/television,379,... < 100 DM,... < 1 year,4,male,none,2,real estate,28,none,own,2,unskilled - resident,1,none,yes,1,single
