checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
no checking account,16,existing credits paid back duly till now,radio/television,635,... < 100 DM,1 <= ... < 4 years,4,female,none,4,unknown / no property,19,bank,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,married/widowed
0 <= ... < 200 DM,10,existing credits paid back duly till now,car (new),250,unknown / no savings account,1 <= ... < 4 years,2,female,none,4,real estate,19,none,rent,1,skilled employee / official,1,none,yes,1,single
no checking account,18,no credits taken / all credits paid back duly,radio/television,250,... < 100 DM,... >= 7 years,2,male,none,4,real estate,21,none,own,1,unskilled - resident,1,none,yes,1,single
... >= 200 DM / salary assignments for at least 1 year,19,critical account / other credits existing (not at this bank),car (new),300,100 <= ... < 500 DM,... >= 7 years,4,male,none,4,real estate,28,none,own,1,unskilled - resident,2,none,yes,1,single
no checking account,18,existing credits paid back duly till now,radio/television,1664,... < 100 DM,4 <= ... < 7 years,1,female,none,4,real estate,21,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,15,existing credits paid back duly till now,furniture/equipment,7193,unknown / no savings account,... >= 7 years,4,female,none,4,"car or other, not in savings account",35,none,for free,1,skilled employee / official,2,none,yes,1,single
0 <= ... < 200 DM,15,existing credits paid back duly till now,business,3972,... >= 1000 DM,... >= 7 years,4,female,none,3,real estate,22,none,own,1,skilled employee / official,1,none,yes,1,single
no checking account,22,critical account / other credits existing (not at this bank),business,250,unknown / no savings account,1 <= ... < 4 years,4,female,none,4,real estate,19,bank,own,1,skilled employee / official,1,none,yes,1,single
no checking account,37,no credits taken / all credits paid back duly,furniture/equipment,552,... < 100 DM,... < 1 year,2,male,none,2,unknown / no property,19,none,rent,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,8,critical account / other credits existing (not at this bank),car (new),2340,... >= 1000 DM,1 <= ... < 4 years,4,male,none,3,unknown / no property,23,bank,own,2,unskilled - resident,1,none,yes,2,single
0 <= ... < 200 DM,23,existing credits paid back duly till now,business,250,unknown / no savings account,1 <= ... < 4 years,2,male,none,2,building society savings agreement / life insurance,19,bank,for free,1,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,54,critical account / other credits existing (not at this bank),furniture/equipment,250,unknown / no savings account,... >= 7 years,4,male,none,4,"car or other, not in savings account",26,none,own,2,unskilled - resident,1,none,yes,2,divorced/separated
no checking account,24,existing credits paid back duly till now,education,1359,... < 100 DM,1 <= ... < 4 years,4,male,none,3,real estate,19,bank,own,1,skilled employee / official,2,none,yes,1,divorced/separated
no checking account,14,existing credits paid back duly till now,business,2048,... < 100 DM,unemployed,4,female,co-applicant,4,"car or other, not in savings account",25,none,own,4,unskilled - resident,1,none,yes,1,divorced/separated
... < 0 DM,34,existing credits paid back duly till now,furniture/equipment,469,unknown / no savings account,... < 1 year,3,male,none,4,real estate,49,stores,own,2,skilled employee / official,2,none,yes,1,single
no checking account,20,critical account / other credits existing (not at this bank),car (new),5702,... < 100 DM,... >= 7 years,2,male,none,2,real estate,19,none,own,1,skilled employee / official,1,none,yes,1,single
... < 0 DM,11,critical account / other credits existing (not at this bank),others,250,... < 100 DM,... >= 7 years,3,male,none,3,unknown / no property,26,bank,own,1,skilled employee / official,1,none,yes,2,single
no checking account,27,existing credits paid back duly till now,furniture/equipment,2107,... >= 1000 DM,1 <= ... < 4 years,2,male,none,4,building society savings agreement / life insurance,19,bank,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,15,existing credits paid back duly till now,car (new),1620,... < 100 DM,... < 1 year,4,male,none,4,real estate,46,none,rent,2,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
no checking account,17,existing credits paid back duly till now,furniture/equipment,2317,... < 100 DM,1 <= ... < 4 years,2,male,none,3,unknown / no property,19,none,rent,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,27,delay in paying off in the past,car (new),551,... < 100 DM,... >= 7 years,4,female,none,2,real estate,19,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
no checking account,24,critical account / other credits existing (not at this bank),repairs,2929,500 <= ... < 1000 DM,1 <= ... < 4 years,2,female,guarantor,2,building society savings agreement / life insurance,28,none,rent,1,skilled employee / official,1,none,yes,2,single
0 <= ... < 200 DM,11,all credits at this bank paid back duly,radio/television,1445,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,none,1,building society savings agreement / life insurance,19,none,own,1,skilled employee / official,1,none,yes,2,divorced/separated
0 <= ... < 200 DM,4,existing credits paid back duly till now,business,250,... < 100 DM,... >= 7 years,4,male,none,1,building society savings agreement / life insurance,29,bank,own,1,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,27,existing credits paid back duly till now,radio/television,3294,500 <= ... < 1000 DM,... >= 7 years,4,male,none,2,"car or other, not in savings account",20,stores,for free,1,skilled employee / official,2,none,yes,2,single
0 <= ... < 200 DM,20,delay in paying off in the past,car (used),6037,... < 100 DM,... >= 7 years,4,female,none,4,"car or other, not in savings account",20,none,own,1,unemployed / unskilled - non-resident,2,none,yes,2,single
... < 0 DM,19,critical account / other credits existing (not at this bank),car (new),1491,100 <= ... < 500 DM,... >= 7 years,2,male,guarantor,4,"car or other, not in savings account",19,none,for free,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,21,existing credits paid back duly till now,business,5473,... < 100 DM,... >= 7 years,4,male,none,4,unknown / no property,19,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
no checking account,18,critical account / other credits existing (not at this bank),car (new),250,... < 100 DM,... < 1 year,4,male,none,1,building society savings agreement / life insurance,19,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,married/widowed
... < 0 DM,5,all credits at this bank paid back duly,radio/television,1155,... < 100 DM,... >= 7 years,3,female,none,4,building society savings agreement / life insurance,19,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
