checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
... < 0 DM,35,delay in paying off in the past,education,4586,... < 100 DM,... >= 7 years,4,male,none,4,building society savings agreement / life insurance,37,stores,own,2,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
... < 0 DM,22,critical account / other credits existing (not at this bank),car (new),887,... < 100 DM,1 <= ... < 4 years,4,male,none,3,real estate,37,none,own,2,unskilled - resident,1,none,yes,1,single
no checking account,9,existing credits paid back duly till now,repairs,3375,100 <= ... < 500 DM,1 <= ... < 4 years,1,female,none,1,real estate,19,none,own,1,unskilled - resident,1,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,28,delay in paying off in the past,radio/television,2760,... < 100 DM,unemployed,2,female,none,4,"car or other, not in savings account",29,none,rent,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
no checking account,55,critical account / other credits existing (not at this bank),car (new),12446,... < 100 DM,... >= 7 years,4,male,none,4,unknown / no property,59,bank,own,2,unskilled - resident,1,none,yes,1,single
... < 0 DM,27,delay in paying off in the past,furniture/equipment,4578,... < 100 DM,4 <= ... < 7 years,2,female,co-applicant,1,building society savings agreement / life insurance,75,bank,own,1,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
no checking account,29,existing credits paid back duly till now,others,2650,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male,none,1,"car or other, not in savings account",26,none,own,2,skilled employee / official,1,none,no,1,married/widowed
... < 0 DM,47,all credits at this bank paid back duly,car (new),250,... < 100 DM,1 <= ... < 4 years,4,male,none,4,unknown / no property,58,bank,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,6,existing credits paid back duly till now,business,2378,... < 100 DM,4 <= ... < 7 years,3,male,none,4,"car or other, not in savings account",30,none,own,1,unskilled - resident,1,none,yes,1,married/widowed
... < 0 DM,28,existing credits paid back duly till now,car (used),5255,unknown / no savings account,unemployed,4,male,none,4,building society savings agreement / life insurance,19,stores,for free,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
