checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
0 <= ... < 200 DM,22,existing credits paid back duly till now,repairs,2107,... < 100 DM,... < 1 year,4,male,none,3,unknown / no property,41,none,rent,3,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
... < 0 DM,10,existing credits paid back duly till now,radio/television,2950,... < 100 DM,1 <= ... < 4 years,4,male,none,2,building society savings agreement / life insurance,27,none,own,1,skilled employee / official,1,none,yes,2,single
... < 0 DM,28,existing credits paid back duly till now,car (new),4882,... < 100 DM,1 <= ... < 4 years,4,male,none,2,real estate,29,bank,own,1,skilled employee / official,1,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,21,existing credits paid back duly till now,radio/television,3724,unknown / no savings account,1 <= ... < 4 years,3,female,none,4,"car or other, not in savings account",64,none,for free,1,management / self-employed / highly qualified employee / officer,1,none,no,2,single
... < 0 DM,20,no credits taken / all credits paid back duly,radio/television,4101,... < 100 DM,1 <= ... < 4 years,4,male,none,2,"car or other, not in savings account",59,none,own,1,unskilled - resident,1,none,yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,25,existing credits paid back duly till now,furniture/equipment,1322,... < 100 DM,... < 1 year,4,male,none,4,"car or other, not in savings account",27,bank,own,1,unskilled - resident,1,"yes, registered under customer's name",no,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,23,critical account / other credits existing (not at this bank),business,3284,... < 100 DM,1 <= ... < 4 years,4,male,co-applicant,2,real estate,29,bank,own,2,skilled employee / official,1,"yes, registered under customer's name",no,1,single
0 <= ... < 200 DM,14,existing credits paid back duly till now,radio/television,5456,... < 100 DM,... < 1 year,4,male,none,2,"car or other, not in savings account",32,none,own,1,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,4,existing credits paid back duly till now,car (new),4092,100 <= ... < 500 DM,1 <= ... < 4 years,3,male,none,2,"car or other, not in savings account",19,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,married/widowed
0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,8284,... < 100 DM,1 <= ... < 4 years,2,male,none,4,"car or other, not in savings account",29,stores,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,married/widowed
0 <= ... < 200 DM,19,existing credits paid back duly till now,education,250,100 <= ... < 500 DM,4 <= ... < 7 years,4,female,co-applicant,2,unknown / no property,32,none,rent,1,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,27,existing credits paid back duly till now,car (new),2799,100 <= ... < 500 DM,... >= 7 years,2,male,none,4,unknown / no property,25,none,rent,1,unskilled - resident,2,none,no,1,single
no checking account,20,existing credits paid back duly till now,radio/television,4914,... < 100 DM,1 <= ... < 4 years,4,female,co-applicant,4,"car or other, not in savings account",43,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,8,all credits at this bank paid back duly,radio/television,5770,... < 100 DM,1 <= ... < 4 years,4,male,none,3,real estate,33,none,own,1,skilled employee / official,1,none,yes,2,divorced/separated
