checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
0 <= ... < 200 DM,52,delay in paying off in the past,business,2361,... < 100 DM,unemployed,4,male,none,2,unknown / no property,36,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
... < 0 DM,28,existing credits paid back duly till now,car (new),1170,unknown / no savings account,1 <= ... < 4 years,2,male,none,3,"car or other, not in savings account",33,none,rent,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,14,existing credits paid back duly till now,furniture/equipment,857,... < 100 DM,1 <= ... < 4 years,4,female,none,1,real estate,35,none,rent,1,unskilled - resident,1,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,14,critical account / other credits existing (not at this bank),car (used),309,100 <= ... < 500 DM,unemployed,2,male,none,4,unknown / no property,75,none,own,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,25,existing credits paid back duly till now,car (used),4424,... < 100 DM,... >= 7 years,2,male,none,4,"car or other, not in savings account",51,none,own,2,unskilled - resident,1,"yes, registered under customer's name",yes,2,single
... < 0 DM,22,existing credits paid back duly till now,car (used),2252,... < 100 DM,4 <= ... < 7 years,4,male,none,3,"car or other, not in savings account",32,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,8,critical account / other credits existing (not at this bank),radio/television,3173,... < 100 DM,1 <= ... < 4 years,3,female,guarantor,1,real estate,48,none,own,1,skilled employee / official,1,none,no,2,divorced/separated
no checking account,25,critical account / other credits existing (not at this bank),furniture/equipment,8461,... < 100 DM,1 <= ... < 4 years,3,male,none,4,building society savings agreement / life insurance,44,none,own,1,skilled employee / official,1,none,yes,1,single
no checking account,22,all credits at this bank paid back duly,radio/television,1143,100 <= ... < 500 DM,... < 1 year,4,female,none,2,building society savings agreement / life insurance,37,none,rent,1,skilled employee / official,1,none,yes,1,married/widowed
0 <= ... < 200 DM,6,existing credits paid back duly till now,car (used),15945,... < 100 DM,4 <= ... < 7 years,1,female,none,1,"car or other, not in savings account",20,stores,own,1,skilled employee / official,1,none,yes,2,divorced/separated
... < 0 DM,28,critical account / other credits existing (not at this bank),business,8025,... < 100 DM,... >= 7 years,2,male,none,2,unknown / no property,36,none,for free,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
... < 0 DM,25,delay in paying off in the past,furniture/equipment,2861,... < 100 DM,4 <= ... < 7 years,2,male,none,4,unknown / no property,46,bank,own,1,skilled employee / official,2,"yes, registered under customer's name",no,1,single
no checking account,43,existing credits paid back duly till now,furniture/equipment,2604,... < 100 DM,1 <= ... < 4 years,4,female,none,2,real estate,38,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,2,divorced/separated
no checking account,21,existing credits paid back duly till now,car (new),5994,... < 100 DM,... >= 7 years,4,male,none,4,unknown / no property,48,bank,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
no checking account,43,existing credits paid back duly till now,car (new),2955,unknown / no savings account,... >= 7 years,4,male,none,4,"car or other, not in savings account",37,bank,own,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,51,critical account / other credits existing (not at this bank),car (used),3174,... < 100 DM,1 <= ... < 4 years,4,male,none,3,"car or other, not in savings account",48,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
no checking account,19,existing credits paid back duly till now,radio/television,15945,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male,none,4,unknown / no property,75,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,21,all credits at this bank paid back duly,car (new),4989,... < 100 DM,4 <= ... < 7 years,2,female,none,4,"car or other, not in savings account",37,none,rent,2,management / self-employed / highly qualified employee / officer,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,4,delay in paying off in the past,car (new),386,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male,none,2,real estate,21,none,rent,2,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,2032,... < 100 DM,1 <= ... < 4 years,4,female,none,1,real estate,23,none,rent,1,unskilled - resident,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,29,existing credits paid back duly till now,radio/television,2720,unknown / no savings account,... < 1 year,4,male,none,2,real estate,26,none,own,2,skilled employee / official,1,none,yes,1,married/widowed
0 <= ... < 200 DM,23,existing credits paid back duly till now,radio/television,2969,... < 100 DM,4 <= ... < 7 years,2,male,none,4,"car or other, not in savings account",72,none,own,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,22,existing credits paid back duly till now,car (new),963,... < 100 DM,... < 1 year,4,male,co-applicant,1,real estate,21,none,rent,1,unskilled - resident,1,none,yes,2,single
0 <= ... < 200 DM,43,existing credits paid back duly till now,car (new),2802,... < 100 DM,1 <= ... < 4 years,2,female,none,2,real estate,37,none,rent,1,skilled employee / official,1,none,yes,2,divorced/separated
