checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
... >= 200 DM / salary assignments for at least 1 year,32,existing credits paid back duly till now,business,791,... < 100 DM,... >= 7 years,3,male,none,4,"car or other, not in savings account",19,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
no checking account,14,critical account / other credits existing (not at this bank),car (new),1832,... < 100 DM,1 <= ... < 4 years,4,male,none,3,real estate,25,none,own,2,skilled employee / official,2,none,yes,1,single
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,1744,... < 100 DM,1 <= ... < 4 years,2,male,none,3,real estate,21,none,own,2,unskilled - resident,1,none,yes,1,single
... >= 200 DM / salary assignments for at least 1 year,5,delay in paying off in the past,car (used),422,unknown / no savings account,... >= 7 years,2,male,none,4,"car or other, not in savings account",73,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
no checking account,24,existing credits paid back duly till now,car (new),2114,... < 100 DM,... >= 7 years,3,male,none,4,"car or other, not in savings account",59,none,own,1,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,25,existing credits paid back duly till now,furniture/equipment,2235,... < 100 DM,1 <= ... < 4 years,3,female,none,2,building society savings agreement / life insurance,62,none,rent,1,skilled employee / official,1,none,yes,2,divorced/separated
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,3304,unknown / no savings account,... < 1 year,2,male,none,4,"car or other, not in savings account",36,stores,rent,1,unskilled - resident,1,"yes, registered under customer's name",no,1,single
... >= 200 DM / salary assignments for at least 1 year,4,no credits taken / all credits paid back duly,furniture/equipment,11656,... >= 1000 DM,1 <= ... < 4 years,1,female,none,2,building society savings agreement / life insurance,35,none,own,1,unskilled - resident,1,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,27,existing credits paid back duly till now,education,1047,... < 100 DM,1 <= ... < 4 years,4,male,none,3,"car or other, not in savings account",43,none,rent,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,married/widowed
... < 0 DM,24,critical account / other credits existing (not at this bank),domestic appliances,1866,100 <= ... < 500 DM,... >= 7 years,2,male,none,2,"car or other, not in savings account",52,stores,own,2,skilled employee / official,2,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,4,existing credits paid back duly till now,car (new),1081,... >= 1000 DM,... >= 7 years,4,female,none,3,real estate,24,none,own,2,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,21,all credits at this bank paid back duly,car (used),1143,... < 100 DM,1 <= ... < 4 years,4,male,none,4,real estate,52,bank,own,2,skilled employee / official,1,none,no,2,single
no checking account,8,delay in paying off in the past,radio/television,250,... < 100 DM,1 <= ... < 4 years,2,male,none,4,"car or other, not in savings account",36,bank,own,2,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
... < 0 DM,15,existing credits paid back duly till now,furniture/equipment,3127,... < 100 DM,... < 1 year,3,male,guarantor,4,building society savings agreement / life insurance,75,bank,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,27,no credits taken / all credits paid back duly,car (used),9053,... < 100 DM,... >= 7 years,3,male,none,4,unknown / no property,75,none,rent,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
no checking account,8,existing credits paid back duly till now,furniture/equipment,2364,... < 100 DM,1 <= ... < 4 years,4,male,none,2,"car or other, not in savings account",34,none,own,2,skilled employee / official,1,none,yes,1,single
no checking account,10,existing credits paid back duly till now,radio/television,5546,... < 100 DM,... < 1 year,2,female,none,2,building society savings agreement / life insurance,21,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,19,all credits at this bank paid back duly,radio/television,478,500 <= ... < 1000 DM,... >= 7 years,4,male,none,4,unknown / no property,75,none,for free,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
... < 0 DM,25,delay in paying off in the past,radio/television,12915,... < 100 DM,1 <= ... < 4 years,4,male,none,4,building society savings agreement / life insurance,36,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,12,existing credits paid back duly till now,radio/television,1277,... < 100 DM,unemployed,2,male,none,3,real estate,63,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,2329,... < 100 DM,... < 1 year,3,male,none,3,real estate,32,none,own,2,unskilled - resident,1,none,yes,1,married/widowed
no checking account,16,existing credits paid back duly till now,education,2421,100 <= ... < 500 DM,... < 1 year,1,male,none,3,"car or other, not in savings account",21,none,own,2,unskilled - resident,1,none,yes,2,divorced/separated
0 <= ... < 200 DM,14,existing credits paid back duly till now,car (used),1841,... < 100 DM,4 <= ... < 7 years,3,male,none,2,unknown / no property,73,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,23,existing credits paid back duly till now,furniture/equipment,9166,... < 100 DM,... >= 7 years,2,male,none,4,unknown / no property,42,none,for free,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
no checking account,25,delay in paying off in the past,repairs,3610,... < 100 DM,1 <= ... < 4 years,1,male,none,2,"car or other, not in savings account",27,none,own,1,skilled employee / official,1,none,yes,1,single
... < 0 DM,26,existing credits paid back duly till now,furniture/equipment,2365,... < 100 DM,... >= 7 years,2,male,none,4,"car or other, not in savings account",69,none,own,1,unemployed / unskilled - non-resident,1,none,yes,2,single
no checking account,25,no credits taken / all credits paid back duly,business,3802,500 <= ... < 1000 DM,... >= 7 years,2,male,none,4,unknown / no property,29,stores,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
