checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
no checking account,26,existing credits paid back duly till now,radio/television,2764,... < 100 DM,1 <= ... < 4 years,1,female,none,4,unknown / no property,36,none,own,2,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,2,married/widowed
0 <= ... < 200 DM,19,all credits at this bank paid back duly,car (new),1429,unknown / no savings account,1 <= ... < 4 years,2,male,none,4,real estate,22,none,rent,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
... < 0 DM,16,no credits taken / all credits paid back duly,radio/television,2422,500 <= ... < 1000 DM,... >= 7 years,3,female,none,2,real estate,36,none,own,1,unskilled - resident,2,none,yes,1,single
... >= 200 DM / salary assignments for at least 1 year,17,critical account / other credits existing (not at this bank),car (new),1939,100 <= ... < 500 DM,1 <= ... < 4 years,4,female,none,3,real estate,27,none,own,1,unskilled - resident,2,none,yes,2,divorced/separated
no checking account,8,existing credits paid back duly till now,radio/television,11955,... < 100 DM,4 <= ... < 7 years,1,female,none,4,real estate,28,none,own,2,unskilled - resident,1,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,25,existing credits paid back duly till now,furniture/equipment,3954,unknown / no savings account,4 <= ... < 7 years,2,female,none,4,"car or other, not in savings account",19,none,own,1,skilled employee / official,2,none,yes,1,single
0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,9011,... < 100 DM,... < 1 year,4,female,none,2,real estate,20,none,own,1,unskilled - resident,2,none,no,1,single
no checking account,10,critical account / other credits existing (not at this bank),business,2716,unknown / no savings account,1 <= ... < 4 years,3,male,none,4,real estate,19,none,own,1,unskilled - resident,1,none,yes,1,single
no checking account,38,no credits taken / all credits paid back duly,furniture/equipment,12203,... >= 1000 DM,1 <= ... < 4 years,2,male,none,2,unknown / no property,27,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,married/widowed
0 <= ... < 200 DM,24,critical account / other credits existing (not at this bank),car (new),3840,... >= 1000 DM,unemployed,4,male,none,3,unknown / no property,46,stores,own,2,unskilled - resident,1,none,yes,2,single
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,2979,unknown / no savings account,1 <= ... < 4 years,2,male,none,2,building society savings agreement / life insurance,19,none,for free,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,26,critical account / other credits existing (not at this bank),furniture/equipment,578,unknown / no savings account,4 <= ... < 7 years,3,male,none,4,"car or other, not in savings account",19,none,own,1,unskilled - resident,2,none,no,2,divorced/separated
no checking account,8,critical account / other credits existing (not at this bank),education,4566,... < 100 DM,1 <= ... < 4 years,3,male,none,3,real estate,35,bank,own,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,21,existing credits paid back duly till now,business,4091,unknown / no savings account,1 <= ... < 4 years,1,male,none,2,real estate,23,none,own,1,unskilled - resident,1,none,yes,1,divorced/separated
no checking account,35,existing credits paid back duly till now,furniture/equipment,5936,... < 100 DM,... >= 7 years,3,male,none,4,real estate,19,stores,own,2,unskilled - resident,2,none,yes,1,divorced/separated
no checking account,4,critical account / other credits existing (not at this bank),repairs,15945,unknown / no savings account,... >= 7 years,2,male,guarantor,2,"car or other, not in savings account",25,none,own,1,skilled employee / official,1,none,yes,1,single
... < 0 DM,17,critical account / other credits existing (not at this bank),others,5165,... < 100 DM,1 <= ... < 4 years,3,male,none,4,building society savings agreement / life insurance,19,none,own,1,skilled employee / official,1,none,yes,2,divorced/separated
no checking account,21,all credits at this bank paid back duly,furniture/equipment,8876,unknown / no savings account,1 <= ... < 4 years,2,male,none,4,building society savings agreement / life insurance,19,bank,own,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,17,critical account / other credits existing (not at this bank),furniture/equipment,3847,... < 100 DM,1 <= ... < 4 years,4,male,none,4,real estate,38,none,rent,2,management / self-employed / highly qualified employee / officer,2,none,yes,1,single
no checking account,30,existing credits paid back duly till now,furniture/equipment,1668,... < 100 DM,1 <= ... < 4 years,2,male,none,3,"car or other, not in savings account",28,none,rent,2,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,22,delay in paying off in the past,radio/television,5712,... < 100 DM,... < 1 year,4,female,none,2,real estate,24,none,own,1,unskilled - resident,1,none,yes,1,divorced/separated
no checking account,28,no credits taken / all credits paid back duly,education,10668,500 <= ... < 1000 DM,1 <= ... < 4 years,2,female,guarantor,2,unknown / no property,54,none,for free,1,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",no,2,single
0 <= ... < 200 DM,21,all credits at this bank paid back duly,car (used),5293,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,none,1,"car or other, not in savings account",27,none,own,1,skilled employee / official,2,none,yes,1,divorced/separated
0 <= ... < 200 DM,23,critical account / other credits existing (not at this bank),radio/television,9815,... < 100 DM,... >= 7 years,2,male,none,1,unknown / no property,75,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,72,all credits at this bank paid back duly,business,2580,500 <= ... < 1000 DM,... >= 7 years,1,male,none,2,"car or other, not in savings account",25,none,for free,1,skilled employee / official,2,none,yes,2,single
0 <= ... < 200 DM,28,all credits at this bank paid back duly,car (used),15945,100 <= ... < 500 DM,... >= 7 years,1,male,none,2,"car or other, not in savings account",28,none,own,1,unemployed / unskilled - non-resident,2,none,yes,2,single
... < 0 DM,23,critical account / other credits existing (not at this bank),car (new),11442,100 <= ... < 500 DM,unemployed,2,male,guarantor,4,"car or other, not in savings account",20,stores,for free,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,24,existing credits paid back duly till now,car (new),1157,... < 100 DM,... >= 7 years,2,male,none,4,real estate,24,none,for free,2,management / self-employed / highly qualified employee / officer,2,none,yes,2,single
... >= 200 DM / salary assignments for at least 1 year,29,critical account / other credits existing (not at this bank),furniture/equipment,2526,... >= 1000 DM,... < 1 year,2,male,none,1,building society savings agreement / life insurance,19,none,own,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,married/widowed
no checking account,4,delay in paying off in the past,radio/television,5861,... < 100 DM,... >= 7 years,2,male,none,4,building society savings agreement / life insurance,21,none,own,1,skilled employee / official,1,none,yes,2,divorced/separated
0 <= ... < 200 DM,23,existing credits paid back duly till now,car (new),5093,... < 100 DM,... >= 7 years,2,male,none,2,"car or other, not in savings account",30,none,own,3,unskilled - resident,1,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,19,critical account / other credits existing (not at this bank),radio/television,1219,... < 100 DM,... < 1 year,4,male,none,4,real estate,26,none,for free,2,management / self-employed / highly qualified employee / officer,2,none,yes,1,single
... < 0 DM,4,existing credits paid back duly till now,car (new),1363,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,none,4,building society savings agreement / life insurance,26,none,own,2,unskilled - resident,1,none,yes,2,single
... < 0 DM,28,existing credits paid back duly till now,radio/television,1327,... < 100 DM,1 <= ... < 4 years,1,male,none,1,real estate,26,none,rent,1,unskilled - resident,1,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,46,critical account / other credits existing (not at this bank),business,4521,100 <= ... < 500 DM,... < 1 year,2,female,none,4,real estate,50,none,for free,1,skilled employee / official,2,none,yes,2,single
no checking account,18,critical account / other credits existing (not at this bank),car (new),4264,... < 100 DM,1 <= ... < 4 years,2,male,none,2,real estate,26,none,own,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,26,delay in paying off in the past,car (used),4016,... < 100 DM,1 <= ... < 4 years,4,male,none,4,building society savings agreement / life insurance,36,none,for free,1,skilled employee / official,1,none,no,1,divorced/separated
0 <= ... < 200 DM,20,existing credits paid back duly till now,radio/television,3645,... < 100 DM,1 <= ... < 4 years,2,male,none,1,unknown / no property,24,none,own,2,unskilled - resident,1,none,yes,2,divorced/separated
... < 0 DM,23,existing credits paid back duly till now,repairs,15945,... < 100 DM,... >= 7 years,3,female,none,2,real estate,67,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,2,single
0 <= ... < 200 DM,64,no credits taken / all credits paid back duly,radio/television,2515,... < 100 DM,1 <= ... < 4 years,1,male,none,4,unknown / no property,41,none,own,2,skilled employee / official,1,none,yes,2,divorced/separated
no checking account,60,delay in paying off in the past,repairs,3495,... < 100 DM,... >= 7 years,2,female,none,2,real estate,40,none,own,2,management / self-employed / highly qualified employee / officer,1,none,yes,2,divorced/separated
no checking account,51,all credits at this bank paid back duly,business,1080,unknown / no savings account,... < 1 year,4,male,none,4,unknown / no property,22,none,own,2,skilled employee / official,1,none,yes,2,single
0 <= ... < 200 DM,35,critical account / other credits existing (not at this bank),education,2438,... >= 1000 DM,1 <= ... < 4 years,1,male,none,1,unknown / no property,19,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,7,existing credits paid back duly till now,furniture/equipment,4508,100 <= ... < 500 DM,4 <= ... < 7 years,2,male,none,4,building society savings agreement / life insurance,55,none,for free,1,skilled employee / official,1,none,yes,2,single
0 <= ... < 200 DM,26,critical account / other credits existing (not at this bank),furniture/equipment,1537,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female,none,2,real estate,61,none,for free,1,management / self-employed / highly qualified employee / officer,2,none,yes,2,single
no checking account,22,critical account / other credits existing (not at this bank),radio/television,6325,... < 100 DM,1 <= ... < 4 years,4,female,none,3,building society savings agreement / life insurance,58,none,rent,3,unskilled - resident,2,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,17,critical account / other credits existing (not at this bank),radio/television,5890,... < 100 DM,1 <= ... < 4 years,2,male,none,4,real estate,19,none,own,2,unskilled - resident,2,none,yes,1,divorced/separated
... < 0 DM,4,existing credits paid back duly till now,car (used),2711,... < 100 DM,... >= 7 years,2,female,none,4,"car or other, not in savings account",21,none,own,1,skilled employee / official,2,none,yes,2,divorced/separated
0 <= ... < 200 DM,62,existing credits paid back duly till now,car (new),2695,100 <= ... < 500 DM,4 <= ... < 7 years,4,male,none,3,real estate,38,none,own,1,unskilled - resident,1,"yes, registered under customer's name",no,2,single
... < 0 DM,25,critical account / other credits existing (not at this bank),car (used),4448,... < 100 DM,... >= 7 years,2,male,none,2,real estate,20,none,own,1,skilled employee / official,1,none,yes,2,single
no checking account,54,critical account / other credits existing (not at this bank),radio/television,4768,unknown / no savings account,... >= 7 years,2,male,none,4,building society savings agreement / life insurance,35,none,rent,2,skilled employee / official,1,none,yes,2,divorced/separated
... < 0 DM,11,existing credits paid back duly till now,radio/television,1248,... < 100 DM,... >= 7 years,1,male,none,4,unknown / no property,19,none,own,2,unskilled - resident,2,none,yes,1,single
no checking account,35,critical account / other credits existing (not at this bank),car (new),2324,... < 100 DM,1 <= ... < 4 years,3,male,none,4,real estate,27,none,own,2,skilled employee / official,1,none,yes,2,single
0 <= ... < 200 DM,19,all credits at this bank paid back duly,business,2170,100 <= ... < 500 DM,4 <= ... < 7 years,3,female,none,2,building society savings agreement / life insurance,28,none,own,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,married/widowed
no checking account,63,existing credits paid back duly till now,furniture/equipment,12565,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,none,2,"car or other, not in savings account",22,none,rent,1,skilled employee / official,2,none,yes,2,single
no checking account,28,existing credits paid back duly till now,car (used),2463,... < 100 DM,1 <= ... < 4 years,2,male,none,4,building society savings agreement / life insurance,34,none,own,2,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",no,2,married/widowed
no checking account,21,existing credits paid back duly till now,education,2638,... < 100 DM,1 <= ... < 4 years,2,female,none,2,real estate,19,bank,rent,1,unskilled - resident,2,none,yes,1,divorced/separated
... < 0 DM,40,critical account / other credits existing (not at this bank),domestic appliances,3124,100 <= ... < 500 DM,... >= 7 years,3,male,none,1,real estate,21,none,rent,2,unskilled - resident,1,none,yes,1,married/widowed
... < 0 DM,4,delay in paying off in the past,repairs,3032,... < 100 DM,1 <= ... < 4 years,4,female,none,4,real estate,30,none,rent,1,skilled employee / official,2,none,yes,1,single
0 <= ... < 200 DM,72,all credits at this bank paid back duly,car (new),5188,... < 100 DM,1 <= ... < 4 years,2,male,none,4,building society savings agreement / life insurance,19,none,own,1,skilled employee / official,2,none,yes,1,single
no checking account,4,critical account / other credits existing (not at this bank),radio/television,6330,... < 100 DM,... >= 7 years,3,male,none,4,real estate,31,none,rent,2,unskilled - resident,1,none,yes,1,divorced/separated
no checking account,4,existing credits paid back duly till now,furniture/equipment,3710,... < 100 DM,... >= 7 years,1,male,none,4,real estate,31,none,own,2,unskilled - resident,1,none,yes,2,single
no checking account,13,critical account / other credits existing (not at this bank),radio/television,4907,... < 100 DM,... < 1 year,3,male,none,2,unknown / no property,28,none,rent,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,18,all credits at this bank paid back duly,radio/television,1112,... < 100 DM,... >= 7 years,2,male,none,4,unknown / no property,37,none,own,1,skilled employee / official,2,none,yes,1,single
no checking account,23,delay in paying off in the past,furniture/equipment,1150,... < 100 DM,... >= 7 years,4,male,none,2,"car or other, not in savings account",34,none,for free,2,management / self-employed / highly qualified employee / officer,1,none,yes,1,divorced/separated
no checking account,23,existing credits paid back duly till now,furniture/equipment,5537,... < 100 DM,unemployed,3,female,none,4,real estate,40,none,for free,2,skilled employee / official,1,none,yes,2,single
no checking account,32,critical account / other credits existing (not at this bank),furniture/equipment,9414,... < 100 DM,4 <= ... < 7 years,3,female,none,4,real estate,28,none,own,2,unskilled - resident,1,none,yes,2,divorced/separated
... < 0 DM,24,existing credits paid back duly till now,education,2901,... < 100 DM,1 <= ... < 4 years,3,male,none,2,building society savings agreement / life insurance,19,none,for free,2,skilled employee / official,1,none,yes,1,single
no checking account,38,critical account / other credits existing (not at this bank),furniture/equipment,2438,500 <= ... < 1000 DM,... >= 7 years,1,male,none,4,real estate,19,none,own,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,divorced/separated
0 <= ... < 200 DM,28,existing credits paid back duly till now,car (new),11252,... < 100 DM,4 <= ... < 7 years,1,male,none,1,unknown / no property,37,none,own,1,skilled employee / official,2,none,yes,2,single
no checking account,10,critical account / other credits existing (not at this bank),car (new),5875,500 <= ... < 1000 DM,... >= 7 years,3,male,none,4,real estate,22,bank,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,divorced/separated
no checking account,60,existing credits paid back duly till now,car (new),2469,100 <= ... < 500 DM,1 <= ... < 4 years,2,male,none,4,unknown / no property,22,stores,rent,2,skilled employee / official,2,none,yes,2,divorced/separated
no checking account,12,existing credits paid back duly till now,car (new),12916,100 <= ... < 500 DM,... >= 7 years,4,male,none,4,real estate,33,none,rent,2,unskilled - resident,1,"yes, registered under customer's name",yes,2,divorced/separated
... < 0 DM,25,critical account / other credits existing (not at this bank),business,4085,... < 100 DM,1 <= ... < 4 years,2,female,none,4,real estate,31,none,own,2,unskilled - resident,2,none,yes,1,single
... < 0 DM,23,existing credits paid back duly till now,furniture/equipment,12426,... < 100 DM,4 <= ... < 7 years,1,female,none,2,real estate,25,none,own,2,unskilled - resident,1,none,yes,1,divorced/separated
