checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
no checking account,24,existing credits paid back duly till now,radio/television,2857,... < 100 DM,4 <= ... < 7 years,1,male,none,4,unknown / no property,27,none,rent,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,5,existing credits paid back duly till now,radio/television,1714,... < 100 DM,1 <= ... < 4 years,4,female,none,1,"car or other, not in savings account",32,none,own,1,unskilled - resident,1,none,yes,1,divorced/separated
no checking account,23,existing credits paid back duly till now,radio/television,8324,unknown / no savings account,1 <= ... < 4 years,1,female,none,2,real estate,22,none,rent,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,7,existing credits paid back duly till now,radio/television,1413,... < 100 DM,... < 1 year,4,female,none,2,real estate,41,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,36,all credits at this bank paid back duly,furniture/equipment,4696,unknown / no savings account,... < 1 year,2,male,none,3,"car or other, not in savings account",29,none,own,4,unskilled - resident,1,none,yes,2,single
no checking account,13,existing credits paid back duly till now,radio/television,1880,unknown / no savings account,... >= 7 years,3,male,none,4,building society savings agreement / life insurance,29,none,for free,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,8,existing credits paid back duly till now,furniture/equipment,4129,unknown / no savings account,unemployed,3,female,guarantor,2,building society savings agreement / life insurance,32,none,own,2,skilled employee / official,1,"yes, registered under customer's name",no,1,divorced/separated
0 <= ... < 200 DM,10,existing credits paid back duly till now,furniture/equipment,2954,... < 100 DM,... >= 7 years,1,male,none,2,unknown / no property,30,none,for free,2,unemployed / unskilled - non-resident,1,none,yes,1,single
no checking account,44,existing credits paid back duly till now,furniture/equipment,4437,... < 100 DM,1 <= ... < 4 years,2,male,none,2,building society savings agreement / life insurance,20,none,own,1,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",yes,1,married/widowed
0 <= ... < 200 DM,19,delay in paying off in the past,furniture/equipment,7167,... < 100 DM,1 <= ... < 4 years,3,male,none,3,building society savings agreement / life insurance,28,stores,own,2,skilled employee / official,2,none,yes,1,single
... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,car (new),918,... < 100 DM,... >= 7 years,2,male,co-applicant,1,real estate,31,none,own,2,skilled employee / official,2,none,yes,2,single
0 <= ... < 200 DM,34,existing credits paid back duly till now,car (new),7044,unknown / no savings account,1 <= ... < 4 years,1,female,none,4,real estate,33,none,rent,3,skilled employee / official,1,none,no,1,single
no checking account,23,critical account / other credits existing (not at this bank),car (new),2286,... < 100 DM,1 <= ... < 4 years,4,female,none,2,building society savings agreement / life insurance,27,none,own,2,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,25,existing credits paid back duly till now,car (used),3329,... >= 1000 DM,4 <= ... < 7 years,1,male,none,4,building society savings agreement / life insurance,35,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
no checking account,28,critical account / other credits existing (not at this bank),furniture/equipment,2246,unknown / no savings account,1 <= ... < 4 years,4,female,none,1,"car or other, not in savings account",26,none,own,2,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,24,existing credits paid back duly till now,car (new),2192,... < 100 DM,1 <= ... < 4 years,2,female,none,2,"car or other, not in savings account",28,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
0 <= ... < 200 DM,23,existing credits paid back duly till now,domestic appliances,1259,... < 100 DM,1 <= ... < 4 years,3,male,none,2,real estate,19,stores,own,1,unskilled - resident,2,none,yes,1,single
0 <= ... < 200 DM,25,all credits at this bank paid back duly,education,1857,... < 100 DM,1 <= ... < 4 years,4,female,none,2,"car or other, not in savings account",30,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
... < 0 DM,6,critical account / other credits existing (not at this bank),radio/television,2144,... >= 1000 DM,1 <= ... < 4 years,3,female,none,2,building society savings agreement / life insurance,33,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,23,existing credits paid back duly till now,business,3595,... < 100 DM,... >= 7 years,4,male,none,1,building society savings agreement / life insurance,26,bank,own,4,skilled employee / official,1,none,yes,1,single
... >= 200 DM / salary assignments for at least 1 year,13,existing credits paid back duly till now,radio/television,2901,... < 100 DM,... < 1 year,4,male,none,1,"car or other, not in savings account",26,none,own,1,unskilled - resident,1,none,yes,2,single
no checking account,24,existing credits paid back duly till now,education,4722,... < 100 DM,1 <= ... < 4 years,2,male,co-applicant,2,real estate,33,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,15,existing credits paid back duly till now,car (used),703,unknown / no savings account,... < 1 year,4,female,none,2,"car or other, not in savings account",31,none,rent,1,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,15,no credits taken / all credits paid back duly,furniture/equipment,660,... < 100 DM,... < 1 year,2,male,none,3,"car or other, not in savings account",24,none,own,2,unskilled - resident,1,none,yes,2,married/widowed
no checking account,15,existing credits paid back duly till now,radio/television,2105,unknown / no savings account,... < 1 year,1,male,guarantor,2,building society savings agreement / life insurance,29,none,own,1,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,31,critical account / other credits existing (not at this bank),furniture/equipment,5663,100 <= ... < 500 DM,... < 1 year,2,male,none,3,building society savings agreement / life insurance,21,none,own,2,skilled employee / official,1,none,yes,2,single
... < 0 DM,5,delay in paying off in the past,education,7090,... < 100 DM,... < 1 year,3,male,none,2,"car or other, not in savings account",33,stores,own,2,unskilled - resident,1,none,yes,2,single
0 <= ... < 200 DM,25,existing credits paid back duly till now,retraining,3635,... < 100 DM,... < 1 year,4,female,none,4,building society savings agreement / life insurance,37,bank,rent,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,divorced/separated
no checking account,12,existing credits paid back duly till now,radio/television,2512,... < 100 DM,4 <= ... < 7 years,4,male,none,1,real estate,21,none,own,2,unskilled - resident,1,none,yes,1,single
