checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
no checking account,38,critical account / other credits existing (not at this bank),radio/television,15945,unknown / no savings account,... >= 7 years,2,male,none,4,unknown / no property,64,none,for free,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
no checking account,20,critical account / other credits existing (not at this bank),radio/television,2678,... < 100 DM,1 <= ... < 4 years,4,male,none,2,"car or other, not in savings account",21,none,own,2,unskilled - resident,1,none,yes,2,single
no checking account,23,existing credits paid back duly till now,radio/television,333,... < 100 DM,unemployed,4,female,none,4,real estate,42,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,radio/television,1615,... < 100 DM,1 <= ... < 4 years,4,male,none,2,real estate,37,bank,own,1,skilled employee / official,1,none,yes,1,single
no checking account,4,critical account / other credits existing (not at this bank),car (new),379,unknown / no savings account,... < 1 year,3,female,none,3,real estate,70,none,own,2,unskilled - resident,1,none,yes,1,divorced/separated
no checking account,15,existing credits paid back duly till now,radio/television,250,100 <= ... < 500 DM,4 <= ... < 7 years,3,male,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes,1,single
no checking account,4,existing credits paid back duly till now,furniture/equipment,2081,unknown / no savings account,1 <= ... < 4 years,3,male,guarantor,2,real estate,47,none,own,2,unskilled - resident,2,none,no,1,single
0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,684,500 <= ... < 1000 DM,... >= 7 years,3,male,none,2,"car or other, not in savings account",29,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
no checking account,30,delay in paying off in the past,furniture/equipment,4627,unknown / no savings account,4 <= ... < 7 years,4,male,none,4,"car or other, not in savings account",24,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,married/widowed
0 <= ... < 200 DM,5,delay in paying off in the past,education,5911,... < 100 DM,1 <= ... < 4 years,3,male,none,4,"car or other, not in savings account",62,stores,own,4,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
... >= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,radio/television,3259,... < 100 DM,1 <= ... < 4 years,2,male,none,4,real estate,25,none,own,1,skilled employee / official,1,none,yes,1,married/widowed
0 <= ... < 200 DM,23,no credits taken / all credits paid back duly,repairs,2499,unknown / no savings account,1 <= ... < 4 years,3,male,none,2,real estate,39,none,rent,3,unskilled - resident,2,none,no,1,single
no checking account,5,critical account / other credits existing (not at this bank),car (new),4787,unknown / no savings account,1 <= ... < 4 years,4,male,none,2,real estate,29,none,own,1,unskilled - resident,2,none,yes,1,single
no checking account,23,existing credits paid back duly till now,car (new),250,... >= 1000 DM,1 <= ... < 4 years,1,male,none,1,building society savings agreement / life insurance,43,stores,own,2,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,8,critical account / other credits existing (not at this bank),furniture/equipment,1811,unknown / no savings account,... >= 7 years,4,male,none,1,real estate,26,none,own,2,unskilled - resident,2,none,yes,1,single
no checking account,28,existing credits paid back duly till now,furniture/equipment,999,500 <= ... < 1000 DM,1 <= ... < 4 years,2,female,none,2,"car or other, not in savings account",37,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,20,existing credits paid back duly till now,domestic appliances,4891,... < 100 DM,1 <= ... < 4 years,3,female,none,2,building society savings agreement / life insurance,26,none,rent,1,unskilled - resident,1,none,yes,1,divorced/separated
... < 0 DM,58,all credits at this bank paid back duly,education,953,... < 100 DM,1 <= ... < 4 years,4,male,none,3,"car or other, not in savings account",36,bank,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
... < 0 DM,16,critical account / other credits existing (not at this bank),radio/television,3088,... >= 1000 DM,1 <= ... < 4 years,3,male,none,4,building society savings agreement / life insurance,39,none,own,2,skilled employee / official,2,none,yes,1,single
no checking account,25,delay in paying off in the past,business,1679,unknown / no savings account,... >= 7 years,4,male,none,4,unknown / no property,34,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
... < 0 DM,22,existing credits paid back duly till now,radio/television,10528,... < 100 DM,... < 1 year,1,male,none,1,"car or other, not in savings account",20,none,rent,1,unskilled - resident,1,none,yes,2,divorced/separated
... < 0 DM,21,existing credits paid back duly till now,education,415,... < 100 DM,... < 1 year,1,female,co-applicant,2,real estate,33,none,rent,1,unskilled - resident,1,none,yes,2,divorced/separated
... < 0 DM,16,no credits taken / all credits paid back duly,business,250,100 <= ... < 500 DM,... >= 7 years,4,male,none,4,unknown / no property,75,bank,for free,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
... < 0 DM,13,existing credits paid back duly till now,car (new),1588,unknown / no savings account,... < 1 year,2,male,none,3,"car or other, not in savings account",45,none,for free,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,married/widowed
no checking account,31,critical account / other credits existing (not at this bank),business,5339,unknown / no savings account,... >= 7 years,1,male,none,2,building society savings agreement / life insurance,45,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,26,existing credits paid back duly till now,furniture/equipment,250,100 <= ... < 500 DM,... < 1 year,1,female,none,4,building society savings agreement / life insurance,25,bank,own,1,skilled employee / official,1,none,yes,2,divorced/separated
... < 0 DM,46,delay in paying off in the past,education,250,100 <= ... < 500 DM,... >= 7 years,3,female,none,3,"car or other, not in savings account",35,stores,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
0 <= ... < 200 DM,47,all credits at this bank paid back duly,car (used),15945,... < 100 DM,... >= 7 years,3,male,none,4,unknown / no property,32,bank,for free,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,4,existing credits paid back duly till now,retraining,3080,100 <= ... < 500 DM,4 <= ... < 7 years,3,male,co-applicant,4,real estate,25,none,rent,2,unemployed / unskilled - non-resident,1,none,yes,1,single
... < 0 DM,4,existing credits paid back duly till now,car (new),1213,... < 100 DM,... >= 7 years,4,male,none,2,building society savings agreement / life insurance,61,bank,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
no checking account,11,existing credits paid back duly till now,car (new),357,... < 100 DM,... >= 7 years,1,female,none,4,building society savings agreement / life insurance,31,bank,own,3,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,6,existing credits paid back duly till now,furniture/equipment,3633,500 <= ... < 1000 DM,4 <= ... < 7 years,1,male,none,4,building society savings agreement / life insurance,57,none,rent,1,unskilled - resident,2,none,yes,1,single
0 <= ... < 200 DM,25,existing credits paid back duly till now,car (new),250,100 <= ... < 500 DM,1 <= ... < 4 years,2,female,none,4,"car or other, not in savings account",37,none,own,3,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,50,delay in paying off in the past,domestic appliances,3377,... < 100 DM,... < 1 year,3,male,none,1,real estate,19,none,own,2,skilled employee / official,1,none,yes,1,married/widowed
