checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
0 <= ... < 200 DM,13,critical account / other credits existing (not at this bank),car (used),250,... < 100 DM,... >= 7 years,4,female,none,4,real estate,48,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,divorced/separated
no checking account,38,existing credits paid back duly till now,radio/television,250,... < 100 DM,1 <= ... < 4 years,1,male,none,2,building society savings agreement / life insurance,19,none,own,1,skilled employee / official,1,none,yes,2,single
... >= 200 DM / salary assignments for at least 1 year,30,existing credits paid back duly till now,car (used),1776,... < 100 DM,... >= 7 years,4,male,none,2,real estate,19,bank,own,2,skilled employee / official,1,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,radio/television,6859,... < 100 DM,... < 1 year,4,male,none,4,"car or other, not in savings account",19,none,for free,1,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,19,existing credits paid back duly till now,radio/television,250,unknown / no savings account,4 <= ... < 7 years,1,female,none,2,"car or other, not in savings account",36,bank,own,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,250,... < 100 DM,... < 1 year,1,female,none,2,"car or other, not in savings account",19,none,own,1,unskilled - resident,2,"yes, registered under customer's name",yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,4,critical account / other credits existing (not at this bank),repairs,3675,... < 100 DM,1 <= ... < 4 years,4,male,none,4,real estate,19,none,own,2,skilled employee / official,1,none,no,1,single
0 <= ... < 200 DM,26,existing credits paid back duly till now,radio/television,3710,... < 100 DM,4 <= ... < 7 years,4,male,none,4,"car or other, not in savings account",19,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,20,no credits taken / all credits paid back duly,education,3010,... < 100 DM,... >= 7 years,3,male,none,2,"car or other, not in savings account",67,bank,rent,1,skilled employee / official,1,none,yes,1,married/widowed
no checking account,4,delay in paying off in the past,car (new),250,... < 100 DM,1 <= ... < 4 years,2,male,none,2,"car or other, not in savings account",75,stores,own,2,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
0 <= ... < 200 DM,17,critical account / other credits existing (not at this bank),others,3733,... < 100 DM,4 <= ... < 7 years,4,female,none,4,"car or other, not in savings account",64,none,rent,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,72,existing credits paid back duly till now,radio/television,3774,100 <= ... < 500 DM,... >= 7 years,1,male,none,4,unknown / no property,19,stores,rent,2,unskilled - resident,1,none,no,1,divorced/separated
no checking account,23,critical account / other credits existing (not at this bank),car (new),2946,... < 100 DM,1 <= ... < 4 years,4,male,none,4,building society savings agreement / life insurance,75,none,for free,1,skilled employee / official,1,none,yes,1,single
no checking account,18,existing credits paid back duly till now,car (used),250,... < 100 DM,1 <= ... < 4 years,4,male,none,4,real estate,19,none,own,1,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,72,existing credits paid back duly till now,radio/television,6764,unknown / no savings account,4 <= ... < 7 years,4,female,none,4,unknown / no property,75,none,for free,2,skilled employee / official,2,"yes, registered under customer's name",yes,2,single
... < 0 DM,4,existing credits paid back duly till now,radio/television,1021,... < 100 DM,4 <= ... < 7 years,4,male,none,4,"car or other, not in savings account",39,bank,own,1,skilled employee / official,1,none,yes,2,single
no checking account,4,all credits at this bank paid back duly,education,1156,... < 100 DM,... >= 7 years,4,male,none,3,real estate,19,bank,rent,2,skilled employee / official,1,none,yes,2,single
no checking account,33,all credits at this bank paid back duly,radio/television,6214,... < 100 DM,1 <= ... < 4 years,4,male,none,3,"car or other, not in savings account",19,none,rent,1,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,1,single
... >= 200 DM / salary assignments for at least 1 year,17,existing credits paid back duly till now,radio/television,2978,... < 100 DM,... >= 7 years,4,male,none,4,unknown / no property,19,none,own,2,skilled employee / official,1,none,yes,1,single
... < 0 DM,14,delay in paying off in the past,business,2506,... < 100 DM,... < 1 year,2,female,none,4,"car or other, not in savings account",19,none,for free,2,skilled employee / official,2,none,yes,1,married/widowed
0 <= ... < 200 DM,4,critical account / other credits existing (not at this bank),car (new),250,... < 100 DM,... < 1 year,3,male,none,2,"car or other, not in savings account",75,none,rent,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,married/widowed
no checking account,4,existing credits paid back duly till now,education,2291,... < 100 DM,... < 1 year,1,male,none,4,real estate,19,bank,own,1,skilled employee / official,1,none,yes,1,single
... < 0 DM,4,existing credits paid back duly till now,car (used),250,... < 100 DM,1 <= ... < 4 years,3,male,none,4,real estate,19,none,rent,1,skilled employee / official,1,none,yes,1,single
no checking account,30,existing credits paid back duly till now,car (new),1067,... < 100 DM,... < 1 year,4,male,guarantor,4,"car or other, not in savings account",75,none,rent,2,skilled employee / official,1,none,yes,1,married/widowed
no checking account,4,delay in paying off in the past,furniture/equipment,3758,... < 100 DM,... < 1 year,2,male,none,2,real estate,19,none,own,2,skilled employee / official,1,none,yes,1,single
no checking account,13,existing credits paid back duly till now,radio/television,250,... < 100 DM,... < 1 year,2,female,none,2,building society savings agreement / life insurance,32,none,rent,1,skilled employee / official,1,none,yes,2,divorced/separated
... < 0 DM,19,critical account / other credits existing (not at this bank),car (new),5969,... < 100 DM,4 <= ... < 7 years,1,female,none,4,unknown / no property,19,stores,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
