checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship_status
0 <= ... < 200 DM,23,delay in paying off in the past,car (used),4462,... >= 1000 DM,... >= 7 years,4,female,guarantor,3,"car or other, not in savings account",32,none,rent,3,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",no,1,single
0 <= ... < 200 DM,24,critical account / other credits existing (not at this bank),car (used),3046,500 <= ... < 1000 DM,unemployed,2,male,none,4,building society savings agreement / life insurance,31,bank,own,3,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",no,2,single
... >= 200 DM / salary assignments for at least 1 year,52,no credits taken / all credits paid back duly,car (new),2272,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male,none,4,unknown / no property,65,stores,own,2,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,21,critical account / other credits existing (not at this bank),radio/television,8732,unknown / no savings account,1 <= ... < 4 years,1,female,none,4,"car or other, not in savings account",51,stores,for free,2,management / self-employed / highly qualified employee / officer,2,none,no,2,single
... < 0 DM,24,no credits taken / all credits paid back duly,radio/television,15023,100 <= ... < 500 DM,... < 1 year,4,male,guarantor,2,"car or other, not in savings account",55,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,25,existing credits paid back duly till now,education,11321,unknown / no savings account,... < 1 year,1,male,none,4,"car or other, not in savings account",41,bank,rent,1,unskilled - resident,2,"yes, registered under customer's name",no,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,23,critical account / other credits existing (not at this bank),business,6072,... < 100 DM,1 <= ... < 4 years,4,male,co-applicant,2,real estate,22,bank,for free,2,management / self-employed / highly qualified employee / officer,2,none,yes,1,single
0 <= ... < 200 DM,19,no credits taken / all credits paid back duly,car (used),6023,100 <= ... < 500 DM,... < 1 year,4,male,co-applicant,2,"car or other, not in savings account",34,none,rent,3,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",yes,2,divorced/separated
0 <= ... < 200 DM,15,existing credits paid back duly till now,others,3518,100 <= ... < 500 DM,4 <= ... < 7 years,3,male,none,1,"car or other, not in savings account",19,bank,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,14,existing credits paid back duly till now,car (new),7755,unknown / no savings account,unemployed,2,male,none,2,"car or other, not in savings account",50,bank,own,4,management / self-employed / highly qualified employee / officer,2,none,yes,1,married/widowed
... >= 200 DM / salary assignments for at least 1 year,4,critical account / other credits existing (not at this bank),education,2651,100 <= ... < 500 DM,unemployed,3,female,guarantor,3,building society savings agreement / life insurance,29,stores,rent,3,management / self-employed / highly qualified employee / officer,1,none,yes,1,divorced/separated
... < 0 DM,19,no credits taken / all credits paid back duly,car (new),3558,100 <= ... < 500 DM,... >= 7 years,2,female,none,4,unknown / no property,40,stores,rent,2,unemployed / unskilled - non-resident,2,none,yes,1,married/widowed
... < 0 DM,34,no credits taken / all credits paid back duly,radio/television,2095,... >= 1000 DM,1 <= ... < 4 years,4,female,co-applicant,1,"car or other, not in savings account",33,none,own,2,skilled employee / official,1,"yes, registered under customer's name",no,1,divorced/separated
no checking account,7,all credits at this bank paid back duly,repairs,4036,... < 100 DM,1 <= ... < 4 years,2,male,co-applicant,3,real estate,56,bank,for free,1,unemployed / unskilled - non-resident,2,none,yes,2,divorced/separated
0 <= ... < 200 DM,23,delay in paying off in the past,radio/television,2531,unknown / no savings account,unemployed,2,male,co-applicant,1,unknown / no property,40,none,for free,4,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",no,1,single
... < 0 DM,23,critical account / other credits existing (not at this bank),others,1548,... >= 1000 DM,unemployed,2,female,none,4,unknown / no property,22,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,2,divorced/separated
no checking account,18,all credits at this bank paid back duly,education,1626,100 <= ... < 500 DM,... >= 7 years,3,male,none,1,unknown / no property,26,stores,own,4,unskilled - resident,1,"yes, registered under customer's name",no,2,married/widowed
no checking account,18,critical account / other credits existing (not at this bank),car (used),2390,... < 100 DM,unemployed,3,male,guarantor,1,"car or other, not in savings account",31,none,own,3,management / self-employed / highly qualified employee / officer,2,"yes, registered under customer's name",no,2,single
... >= 200 DM / salary assignments for at least 1 year,31,all credits at this bank paid back duly,car (used),2522,... >= 1000 DM,... >= 7 years,2,female,none,4,unknown / no property,24,none,rent,3,unskilled - resident,1,none,no,2,single
0 <= ... < 200 DM,18,all credits at this bank paid back duly,radio/television,1023,... >= 1000 DM,4 <= ... < 7 years,3,male,guarantor,4,"car or other, not in savings account",37,bank,for free,2,skilled employee / official,1,none,yes,1,married/widowed
0 <= ... < 200 DM,53,all credits at this bank paid back duly,retraining,9455,100 <= ... < 500 DM,unemployed,3,male,co-applicant,2,"car or other, not in savings account",45,stores,own,1,unemployed / unskilled - non-resident,1,"yes, registered under customer's name",no,2,married/widowed
no checking account,22,all credits at this bank paid back duly,furniture/equipment,4618,500 <= ... < 1000 DM,... < 1 year,1,male,co-applicant,3,real estate,45,bank,own,2,management / self-employed / highly qualified employee / officer,2,none,yes,1,married/widowed
... < 0 DM,14,critical account / other credits existing (not at this bank),repairs,8301,100 <= ... < 500 DM,1 <= ... < 4 years,3,female,none,4,"car or other, not in savings account",34,none,own,4,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,39,no credits taken / all credits paid back duly,retraining,13110,... < 100 DM,1 <= ... < 4 years,1,male,guarantor,4,unknown / no property,35,none,rent,3,skilled employee / official,2,none,yes,1,married/widowed
... < 0 DM,4,critical account / other credits existing (not at this bank),car (new),3241,500 <= ... < 1000 DM,1 <= ... < 4 years,3,female,none,3,real estate,60,stores,own,2,management / self-employed / highly qualified employee / officer,1,none,yes,1,married/widowed
no checking account,4,critical account / other credits existing (not at this bank),repairs,6021,unknown / no savings account,... >= 7 years,2,male,guarantor,3,building society savings agreement / life insurance,41,none,rent,4,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",no,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,25,delay in paying off in the past,repairs,15945,... < 100 DM,4 <= ... < 7 years,4,male,co-applicant,2,real estate,42,stores,for free,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,21,delay in paying off in the past,radio/television,15945,unknown / no savings account,unemployed,2,female,none,3,"car or other, not in savings account",30,bank,own,2,unskilled - resident,1,"yes, registered under customer's name",no,1,single
