checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
no checking account,14,existing credits paid back duly till now,radio/television,1138,... < 100 DM,1 <= ... < 4 years,3,female,none,4,unknown / no property,26,bank,own,1,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,11,existing credits paid back duly till now,car (new),495,unknown / no savings account,1 <= ... < 4 years,2,female,none,2,real estate,35,none,rent,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
... < 0 DM,26,no credits taken / all credits paid back duly,radio/television,8376,... < 100 DM,... >= 7 years,1,male,none,1,"car or other, not in savings account",34,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,30,critical account / other credits existing (not at this bank),car (new),250,100 <= ... < 500 DM,1 <= ... < 4 years,4,female,none,2,real estate,42,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,2,divorced/separated
no checking account,4,existing credits paid back duly till now,radio/television,5750,... < 100 DM,4 <= ... < 7 years,1,female,none,4,"car or other, not in savings account",34,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,4,existing credits paid back duly till now,car (new),8791,unknown / no savings account,... >= 7 years,2,female,none,4,"car or other, not in savings account",47,none,for free,1,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,4,existing credits paid back duly till now,business,4816,... < 100 DM,4 <= ... < 7 years,4,female,none,2,"car or other, not in savings account",31,none,own,2,skilled employee / official,2,none,yes,1,single
no checking account,4,critical account / other credits existing (not at this bank),business,250,unknown / no savings account,1 <= ... < 4 years,3,male,co-applicant,4,real estate,34,bank,own,2,skilled employee / official,1,none,yes,2,divorced/separated
no checking account,19,no credits taken / all credits paid back duly,furniture/equipment,5453,... >= 1000 DM,... < 1 year,1,male,none,1,unknown / no property,60,none,own,1,skilled employee / official,1,none,yes,2,single
... < 0 DM,7,existing credits paid back duly till now,car (new),250,... >= 1000 DM,unemployed,1,female,none,2,unknown / no property,23,none,own,1,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,5,existing credits paid back duly till now,radio/television,1001,unknown / no savings account,1 <= ... < 4 years,2,male,none,2,building society savings agreement / life insurance,29,none,for free,2,skilled employee / official,1,none,yes,1,single
