checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
0 <= ... < 200 DM,26,delay in paying off in the past,repairs,3519,... >= 1000 DM,... >= 7 years,4,female,guarantor,2,unknown / no property,34,stores,rent,2,unskilled - resident,2,"yes, registered under customer's name",yes,1,married/widowed
0 <= ... < 200 DM,24,all credits at this bank paid back duly,car (used),5898,unknown / no savings account,1 <= ... < 4 years,4,male,none,2,building society savings agreement / life insurance,29,none,own,4,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,21,no credits taken / all credits paid back duly,retraining,12475,500 <= ... < 1000 DM,4 <= ... < 7 years,2,male,none,4,unknown / no property,31,bank,rent,2,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",no,1,single
0 <= ... < 200 DM,10,critical account / other credits existing (not at this bank),education,250,unknown / no savings account,1 <= ... < 4 years,1,male,none,4,"car or other, not in savings account",40,stores,for free,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",no,1,married/widowed
... < 0 DM,22,no credits taken / all credits paid back duly,radio/television,7242,100 <= ... < 500 DM,... < 1 year,4,male,none,1,"car or other, not in savings account",33,none,own,2,unemployed / unskilled - non-resident,2,none,yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,21,existing credits paid back duly till now,education,15945,unknown / no savings account,... < 1 year,1,female,none,4,"car or other, not in savings account",45,bank,rent,1,skilled employee / official,1,none,no,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,26,delay in paying off in the past,business,10949,... < 100 DM,1 <= ... < 4 years,4,male,co-applicant,1,real estate,38,stores,for free,2,management / self-employed / highly qualified employee / officer,2,none,yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,13,all credits at this bank paid back duly,car (used),3791,100 <= ... < 500 DM,... < 1 year,4,male,none,4,building society savings agreement / life insurance,42,none,own,2,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),15945,100 <= ... < 500 DM,4 <= ... < 7 years,3,male,guarantor,1,"car or other, not in savings account",36,bank,for free,2,unskilled - resident,2,"yes, registered under customer's name",yes,2,married/widowed
0 <= ... < 200 DM,10,existing credits paid back duly till now,radio/television,1508,unknown / no savings account,1 <= ... < 4 years,2,male,none,2,"car or other, not in savings account",43,bank,rent,2,unskilled - resident,1,"yes, registered under customer's name",yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,8,existing credits paid back duly till now,education,9260,100 <= ... < 500 DM,4 <= ... < 7 years,3,female,guarantor,1,building society savings agreement / life insurance,27,none,rent,3,unemployed / unskilled - non-resident,1,none,no,1,divorced/separated
