checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
0 <= ... < 200 DM,19,critical account / other credits existing (not at this bank),education,4009,... < 100 DM,1 <= ... < 4 years,4,male,none,4,real estate,34,none,rent,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,married/widowed
0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,1480,unknown / no savings account,4 <= ... < 7 years,4,male,none,4,building society savings agreement / life insurance,44,none,own,2,skilled employee / official,1,none,yes,1,single
... < 0 DM,4,critical account / other credits existing (not at this bank),car (new),2606,unknown / no savings account,... >= 7 years,4,male,none,4,real estate,32,none,own,2,skilled employee / official,2,none,yes,1,single
... < 0 DM,10,critical account / other credits existing (not at this bank),radio/television,2847,unknown / no savings account,1 <= ... < 4 years,4,male,none,4,"car or other, not in savings account",75,none,for free,1,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,23,no credits taken / all credits paid back duly,radio/television,4540,100 <= ... < 500 DM,4 <= ... < 7 years,4,male,none,2,"car or other, not in savings account",52,none,own,2,unemployed / unskilled - non-resident,1,none,yes,2,married/widowed
... >= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,radio/television,2563,... < 100 DM,... < 1 year,1,male,none,4,"car or other, not in savings account",61,none,own,1,skilled employee / official,2,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,4,critical account / other credits existing (not at this bank),business,2375,... < 100 DM,... >= 7 years,4,male,none,4,real estate,34,none,own,1,skilled employee / official,2,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,4,critical account / other credits existing (not at this bank),radio/television,10516,100 <= ... < 500 DM,... < 1 year,4,male,none,4,building society savings agreement / life insurance,43,none,own,2,skilled employee / official,1,none,yes,2,single
no checking account,9,existing credits paid back duly till now,car (new),3903,100 <= ... < 500 DM,4 <= ... < 7 years,3,male,none,1,"car or other, not in savings account",32,none,own,2,unskilled - resident,2,none,yes,1,married/widowed
0 <= ... < 200 DM,21,existing credits paid back duly till now,radio/television,9123,... < 100 DM,1 <= ... < 4 years,2,male,none,4,"car or other, not in savings account",31,bank,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,17,existing credits paid back duly till now,education,633,100 <= ... < 500 DM,4 <= ... < 7 years,4,male,none,2,building society savings agreement / life insurance,40,none,rent,2,skilled employee / official,1,none,yes,1,single
... < 0 DM,10,existing credits paid back duly till now,car (new),250,100 <= ... < 500 DM,... >= 7 years,4,male,none,4,unknown / no property,36,none,rent,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
no checking account,7,critical account / other credits existing (not at this bank),radio/television,15247,... < 100 DM,1 <= ... < 4 years,4,male,none,4,real estate,45,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
0 <= ... < 200 DM,17,critical account / other credits existing (not at this bank),business,2423,... < 100 DM,1 <= ... < 4 years,2,male,none,2,real estate,57,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,married/widowed
0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,5028,unknown / no savings account,4 <= ... < 7 years,2,male,none,4,unknown / no property,37,none,for free,2,skilled employee / official,1,none,yes,2,single
... < 0 DM,4,critical account / other credits existing (not at this bank),furniture/equipment,2214,... < 100 DM,4 <= ... < 7 years,2,female,none,4,"car or other, not in savings account",34,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
no checking account,4,existing credits paid back duly till now,repairs,250,100 <= ... < 500 DM,... >= 7 years,3,female,none,2,"car or other, not in savings account",33,stores,own,1,unskilled - resident,1,none,yes,1,single
no checking account,4,existing credits paid back duly till now,furniture/equipment,250,... < 100 DM,1 <= ... < 4 years,3,male,none,3,"car or other, not in savings account",42,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
no checking account,20,all credits at this bank paid back duly,education,293,... < 100 DM,... >= 7 years,4,female,none,4,unknown / no property,37,none,rent,1,skilled employee / official,1,none,yes,1,single
... < 0 DM,17,critical account / other credits existing (not at this bank),radio/television,3094,... >= 1000 DM,... >= 7 years,4,male,none,4,"car or other, not in savings account",28,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,2,single
no checking account,4,all credits at this bank paid back duly,radio/television,1606,... >= 1000 DM,... < 1 year,4,male,co-applicant,3,"car or other, not in savings account",74,bank,own,1,skilled employee / official,1,none,yes,1,single
no checking account,4,all credits at this bank paid back duly,furniture/equipment,250,... < 100 DM,... >= 7 years,1,male,none,2,real estate,50,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
... < 0 DM,7,critical account / other credits existing (not at this bank),car (used),250,100 <= ... < 500 DM,... >= 7 years,3,male,none,4,building society savings agreement / life insurance,38,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
no checking account,4,existing credits paid back duly till now,car (used),3463,... < 100 DM,1 <= ... < 4 years,4,male,none,4,unknown / no property,54,none,rent,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,11,critical account / other credits existing (not at this bank),car (new),2888,... < 100 DM,... >= 7 years,3,male,none,2,real estate,47,none,own,2,skilled employee / official,2,"yes, registered under customer's name",yes,1,married/widowed
no checking account,11,critical account / other credits existing (not at this bank),radio/television,6453,100 <= ... < 500 DM,... >= 7 years,2,male,none,2,building society savings agreement / life insurance,58,none,rent,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
no checking account,35,existing credits paid back duly till now,car (new),3415,... < 100 DM,4 <= ... < 7 years,4,female,none,4,real estate,42,bank,own,2,unemployed / unskilled - non-resident,1,none,yes,1,divorced/separated
... < 0 DM,4,existing credits paid back duly till now,radio/television,2631,unknown / no savings account,4 <= ... < 7 years,4,female,none,4,building society savings agreement / life insurance,32,bank,for free,2,unskilled - resident,1,none,yes,2,divorced/separated
no checking account,8,critical account / other credits existing (not at this bank),car (new),1301,... < 100 DM,1 <= ... < 4 years,4,male,none,3,real estate,68,none,own,2,skilled employee / official,2,none,yes,2,single
no checking account,12,existing credits paid back duly till now,radio/television,250,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female,none,4,"car or other, not in savings account",27,none,own,1,skilled employee / official,1,none,no,1,single
no checking account,7,delay in paying off in the past,business,3002,... < 100 DM,... >= 7 years,1,male,none,4,"car or other, not in savings account",36,none,own,1,skilled employee / official,1,none,yes,1,single
no checking account,7,existing credits paid back duly till now,furniture/equipment,3229,unknown / no savings account,... >= 7 years,3,female,none,4,real estate,35,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,5,critical account / other credits existing (not at this bank),business,5264,... < 100 DM,... >= 7 years,2,male,none,2,building society savings agreement / life insurance,40,none,rent,1,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,24,existing credits paid back duly till now,car (new),6028,... >= 1000 DM,... >= 7 years,2,male,guarantor,3,real estate,36,stores,for free,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,married/widowed
no checking account,4,existing credits paid back duly till now,car (new),250,unknown / no savings account,4 <= ... < 7 years,4,male,none,4,building society savings agreement / life insurance,35,bank,rent,1,skilled employee / official,2,none,yes,1,single
... < 0 DM,22,existing credits paid back duly till now,car (new),9497,100 <= ... < 500 DM,... < 1 year,2,female,none,2,"car or other, not in savings account",46,stores,rent,2,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,4,critical account / other credits existing (not at this bank),radio/television,3850,... >= 1000 DM,4 <= ... < 7 years,4,male,none,4,real estate,24,none,own,1,skilled employee / official,1,none,yes,2,divorced/separated
