checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
no checking account,4,no credits taken / all credits paid back duly,car (new),12998,500 <= ... < 1000 DM,... >= 7 years,4,male,none,2,"car or other, not in savings account",37,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,married/widowed
0 <= ... < 200 DM,7,delay in paying off in the past,car (new),13828,unknown / no savings account,... < 1 year,2,male,none,3,"car or other, not in savings account",28,bank,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
no checking account,26,existing credits paid back duly till now,business,1847,... < 100 DM,4 <= ... < 7 years,2,male,none,2,building society savings agreement / life insurance,21,none,own,2,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,5,no credits taken / all credits paid back duly,domestic appliances,328,... >= 1000 DM,... < 1 year,2,male,none,4,"car or other, not in savings account",25,bank,own,1,unemployed / unskilled - non-resident,2,none,yes,1,divorced/separated
no checking account,4,all credits at this bank paid back duly,business,2121,... >= 1000 DM,... >= 7 years,4,male,none,3,unknown / no property,23,none,own,1,unemployed / unskilled - non-resident,1,none,yes,1,single
... < 0 DM,28,existing credits paid back duly till now,furniture/equipment,576,unknown / no savings account,... >= 7 years,4,male,none,1,unknown / no property,23,none,rent,1,skilled employee / official,1,none,yes,2,divorced/separated
... < 0 DM,28,critical account / other credits existing (not at this bank),car (new),5197,... < 100 DM,1 <= ... < 4 years,4,male,none,4,"car or other, not in savings account",23,none,for free,1,unskilled - resident,1,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,39,existing credits paid back duly till now,car (new),2061,100 <= ... < 500 DM,1 <= ... < 4 years,4,male,none,3,unknown / no property,23,none,own,1,skilled employee / official,2,none,yes,2,single
0 <= ... < 200 DM,37,critical account / other credits existing (not at this bank),furniture/equipment,2965,... < 100 DM,unemployed,2,male,none,4,unknown / no property,19,none,own,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,married/widowed
no checking account,4,all credits at this bank paid back duly,car (new),1966,... < 100 DM,... >= 7 years,4,male,none,4,real estate,58,bank,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
