checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
0 <= ... < 200 DM,4,delay in paying off in the past,business,319,... < 100 DM,1 <= ... < 4 years,4,female,none,2,real estate,50,none,for free,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,single
no checking account,29,existing credits paid back duly till now,furniture/equipment,3739,unknown / no savings account,1 <= ... < 4 years,4,male,none,2,building society savings agreement / life insurance,47,none,own,2,unskilled - resident,1,none,yes,1,single
no checking account,30,no credits taken / all credits paid back duly,radio/television,250,500 <= ... < 1000 DM,... >= 7 years,3,male,none,4,real estate,67,none,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,4,existing credits paid back duly till now,radio/television,250,unknown / no savings account,4 <= ... < 7 years,4,male,none,4,building society savings agreement / life insurance,63,none,own,1,unskilled - resident,1,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,14,critical account / other credits existing (not at this bank),radio/television,250,100 <= ... < 500 DM,... < 1 year,4,female,guarantor,4,"car or other, not in savings account",67,none,own,1,unemployed / unskilled - non-resident,2,none,yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,furniture/equipment,250,... < 100 DM,... < 1 year,1,male,none,3,building society savings agreement / life insurance,75,bank,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,2,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,19,no credits taken / all credits paid back duly,business,6097,... < 100 DM,... >= 7 years,3,male,co-applicant,1,real estate,70,none,rent,2,skilled employee / official,2,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,53,critical account / other credits existing (not at this bank),radio/television,250,... < 100 DM,4 <= ... < 7 years,4,male,none,2,building society savings agreement / life insurance,42,none,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
no checking account,25,existing credits paid back duly till now,furniture/equipment,250,... < 100 DM,4 <= ... < 7 years,4,male,none,4,"car or other, not in savings account",19,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,1,married/widowed
no checking account,4,critical account / other credits existing (not at this bank),radio/television,5519,unknown / no savings account,... < 1 year,4,male,none,4,building society savings agreement / life insurance,39,bank,own,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
