checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
0 <= ... < 200 DM,33,delay in paying off in the past,car (used),4428,... < 100 DM,... >= 7 years,4,male,none,2,unknown / no property,29,none,rent,2,unskilled - resident,1,"yes, registered under customer's name",yes,1,married/widowed
no checking account,13,existing credits paid back duly till now,car (used),250,unknown / no savings account,1 <= ... < 4 years,4,male,none,2,building society savings agreement / life insurance,41,none,own,1,skilled employee / official,1,none,yes,1,single
... < 0 DM,25,delay in paying off in the past,car (new),2594,unknown / no savings account,1 <= ... < 4 years,4,male,none,3,unknown / no property,68,none,own,2,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
... < 0 DM,17,critical account / other credits existing (not at this bank),radio/television,2934,unknown / no savings account,1 <= ... < 4 years,4,male,none,4,"car or other, not in savings account",68,stores,for free,1,skilled employee / official,1,"yes, registered under customer's name",yes,1,divorced/separated
... < 0 DM,33,no credits taken / all credits paid back duly,radio/television,3419,100 <= ... < 500 DM,... < 1 year,4,male,none,1,"car or other, not in savings account",40,none,own,2,skilled employee / official,1,none,yes,2,divorced/separated
0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,8720,... < 100 DM,... < 1 year,1,male,none,4,"car or other, not in savings account",35,bank,own,1,skilled employee / official,1,none,yes,1,divorced/separated
... >= 200 DM / salary assignments for at least 1 year,26,critical account / other credits existing (not at this bank),business,1471,... < 100 DM,... >= 7 years,4,male,co-applicant,1,real estate,25,none,own,1,skilled employee / official,2,none,yes,1,divorced/separated
0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,1483,... < 100 DM,... < 1 year,4,male,none,2,building society savings agreement / life insurance,23,none,own,2,skilled employee / official,1,none,yes,2,single
0 <= ... < 200 DM,4,existing credits paid back duly till now,car (new),2336,unknown / no savings account,4 <= ... < 7 years,4,male,none,3,"car or other, not in savings account",19,none,own,2,unskilled - resident,2,none,yes,2,married/widowed
0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,5675,unknown / no savings account,1 <= ... < 4 years,2,male,none,4,"car or other, not in savings account",33,bank,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
