checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,sex,other_debtors,residence_duration,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target,relationship status
no checking account,50,existing credits paid back duly till now,education,250,unknown / no savings account,1 <= ... < 4 years,3,female,none,2,unknown / no property,26,bank,own,1,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,35,existing credits paid back duly till now,car (new),1100,unknown / no savings account,1 <= ... < 4 years,2,female,none,2,real estate,34,none,rent,3,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,4,no credits taken / all credits paid back duly,radio/television,5233,500 <= ... < 1000 DM,4 <= ... < 7 years,1,male,none,1,real estate,33,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
... < 0 DM,17,critical account / other credits existing (not at this bank),car (new),250,100 <= ... < 500 DM,... >= 7 years,4,male,none,2,real estate,33,none,own,1,management / self-employed / highly qualified employee / officer,1,none,yes,2,divorced/separated
no checking account,5,existing credits paid back duly till now,radio/television,954,... < 100 DM,... >= 7 years,1,female,co-applicant,4,"car or other, not in savings account",26,none,own,2,unemployed / unskilled - non-resident,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,7,existing credits paid back duly till now,car (new),379,... < 100 DM,... >= 7 years,2,female,none,1,"car or other, not in savings account",45,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated
0 <= ... < 200 DM,60,existing credits paid back duly till now,radio/television,250,... < 100 DM,4 <= ... < 7 years,4,female,none,2,real estate,32,none,own,1,skilled employee / official,1,none,yes,1,single
no checking account,17,critical account / other credits existing (not at this bank),business,15945,unknown / no savings account,1 <= ... < 4 years,3,male,none,4,real estate,27,none,for free,2,skilled employee / official,1,"yes, registered under customer's name",yes,2,divorced/separated
no checking account,41,no credits taken / all credits paid back duly,education,4974,... >= 1000 DM,... < 1 year,2,male,none,1,unknown / no property,49,none,own,1,skilled employee / official,1,none,yes,1,married/widowed
0 <= ... < 200 DM,17,critical account / other credits existing (not at this bank),car (new),250,... >= 1000 DM,4 <= ... < 7 years,4,male,none,2,unknown / no property,29,bank,own,1,unemployed / unskilled - non-resident,2,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,23,existing credits paid back duly till now,business,7796,unknown / no savings account,... >= 7 years,2,male,none,2,building society savings agreement / life insurance,46,bank,for free,1,skilled employee / official,1,none,yes,1,single
0 <= ... < 200 DM,57,critical account / other credits existing (not at this bank),furniture/equipment,5709,unknown / no savings account,... >= 7 years,4,male,none,4,"car or other, not in savings account",23,none,own,1,management / self-employed / highly qualified employee / officer,1,"yes, registered under customer's name",yes,1,divorced/separated
no checking account,10,existing credits paid back duly till now,education,1477,... < 100 DM,... >= 7 years,4,female,none,2,real estate,38,bank,own,2,skilled employee / official,1,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,58,existing credits paid back duly till now,business,4347,unknown / no savings account,unemployed,1,female,co-applicant,3,building society savings agreement / life insurance,38,none,own,1,skilled employee / official,2,"yes, registered under customer's name",yes,1,single
0 <= ... < 200 DM,27,existing credits paid back duly till now,furniture/equipment,2438,unknown / no savings account,... < 1 year,3,male,none,4,real estate,63,stores,for free,1,skilled employee / official,1,"yes, registered under customer's name",yes,2,single
0 <= ... < 200 DM,72,critical account / other credits existing (not at this bank),car (used),9267,unknown / no savings account,... >= 7 years,2,male,none,1,"car or other, not in savings account",19,none,own,1,skilled employee / official,1,none,yes,2,married/widowed
... < 0 DM,28,critical account / other credits existing (not at this bank),others,486,... < 100 DM,1 <= ... < 4 years,4,female,none,2,unknown / no property,47,none,own,2,skilled employee / official,1,none,yes,1,single
